Organization,Availability,Division,SystemType,SystemName,Platform,Model,MlperfModel,Scenario,Result,Accuracy,number_of_nodes,host_processor_model_name,host_processors_per_node,host_processor_core_count,accelerator_model_name,accelerators_per_node,Location,framework,operating_system,notes,compliance,errors,version,inferred,has_power,Units
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-1.0-224,resnet,MultiStream,112.367336,70.622,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-1.0-224/multistream,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Latency (ms)
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-1.0-224,resnet,SingleStream,11.585631,70.622,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-1.0-224/singlestream,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,False,Latency (ms)
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-1.0-224,resnet,Offline,91.4493,70.622,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-1.0-224/offline,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Samples/s
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v1-precision_uint8-0.5-160,resnet,MultiStream,28.296728,59.480,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v1-precision_uint8-0.5-160/multistream,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Latency (ms)
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v1-precision_uint8-0.5-160,resnet,SingleStream,2.940372,59.480,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v1-precision_uint8-0.5-160/singlestream,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,False,Latency (ms)
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v1-precision_uint8-0.5-160,resnet,Offline,384.647,59.480,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v1-precision_uint8-0.5-160/offline,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Samples/s
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-0.75-192,resnet,MultiStream,62.180272,67.458,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-0.75-192/multistream,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Latency (ms)
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-0.75-192,resnet,SingleStream,6.744562,67.458,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-0.75-192/singlestream,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,0,False,Latency (ms)
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v2-precision_uint8-0.75-192,resnet,Offline,161.892,67.458,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v2-precision_uint8-0.75-192/offline,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Samples/s
cTuning,available,open,"edge","94d2fe8e2ffe (auto detected)",94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config,mobilenet-v1-precision_float-0.5-128,resnet,MultiStream,30.395208,57.918,1,"AMD Ryzen 5 5500U with Radeon Graphics",1,6,"N/A","0",open/cTuning/results/94d2fe8e2ffe-tflite_cpp-cpu-tflite-vmaster-default_config/mobilenet-v1-precision_float-0.5-128/multistream,"tflite","Ubuntu 22.04 (linux-5.10.16.3-microsoft-standard-WSL2-glibc2.35)"," Result taken by Anandhu S. Powered by MLCommons Collective Mind framework (CK2). ",1,0,v3.1,1,False,Latency (ms)
